x,y
0.0,1.4408000000000002e-05
0.01,1.4408000000000002e-05
0.02,1.4408000000000002e-05
0.03,1.4408000000000002e-05
0.04,1.4408000000000002e-05
0.05,1.4408000000000002e-05
0.06,1.4408000000000002e-05
0.069892,1.4408000000000002e-05
0.071178,1.4373000000000001e-05
0.072463,1.4339e-05
0.073748,1.4304e-05
0.075033,1.427e-05
0.076318,1.4235e-05
0.077604,1.4201e-05
0.078889,1.4166e-05
0.080174,1.4132000000000001e-05
0.081459,1.4097e-05
0.082744,1.4062e-05
0.084029,1.4028e-05
0.085315,1.3993e-05
0.0866,1.3959e-05
0.087885,1.3924000000000001e-05
0.08917,1.3889999999999999e-05
0.090455,1.3855e-05
0.09174,1.3821e-05
0.093026,1.3786e-05
0.094311,1.3752e-05
0.095596,1.3717000000000001e-05
0.096881,1.3683000000000001e-05
0.098166,1.3648e-05
0.099452,1.3613e-05
0.100737,1.3559999999999999e-05
0.102022,1.3507e-05
0.103307,1.3454e-05
0.104592,1.3401e-05
0.105877,1.3348e-05
0.107163,1.3295e-05
0.108448,1.3242000000000001e-05
0.109733,1.3189e-05
0.111018,1.3136000000000001e-05
0.112303,1.3083e-05
0.113589,1.303e-05
0.114874,1.2977000000000001e-05
0.116159,1.2924e-05
0.117444,1.2871000000000001e-05
0.118729,1.2818e-05
0.120014,1.2766e-05
0.1213,1.2713e-05
0.122585,1.2659999999999999e-05
0.12387,1.2607e-05
0.125155,1.2553999999999999e-05
0.12644,1.2501e-05
0.127725,1.2448000000000002e-05
0.129011,1.2395e-05
0.130296,1.2342000000000001e-05
0.131581,1.2289e-05
0.132866,1.2236000000000001e-05
0.134151,1.2183e-05
0.135437,1.213e-05
0.136722,1.2077e-05
0.138007,1.2024e-05
0.139292,1.1971000000000001e-05
0.140577,1.1918e-05
0.141862,1.1866e-05
0.143148,1.1813e-05
0.144433,1.176e-05
0.145718,1.1707e-05
0.147003,1.1653999999999999e-05
0.148288,1.1601000000000001e-05
0.149573,1.1497999999999999e-05
0.150859,1.1208e-05
0.152144,1.0918000000000001e-05
0.153429,1.0628e-05
0.154714,1.0338e-05
0.155999,1.0049000000000002e-05
0.157285,9.759000000000001e-06
0.15857,9.469e-06
0.159855,9.179e-06
0.16114,8.888999999999999e-06
0.162425,8.599e-06
0.16371,8.309000000000001e-06
0.164996,8.019e-06
0.166281,7.729e-06
0.167566,7.439e-06
0.168851,7.1490000000000005e-06
0.170136,6.859e-06
0.171421,6.569e-06
0.172707,6.28e-06
0.173992,5.989999999999999e-06
0.175277,5.7000000000000005e-06
0.176562,5.41e-06
0.177847,5.12e-06
0.179133,4.83e-06
0.180418,4.54e-06
0.181703,4.250000000000001e-06
0.182988,3.96e-06
0.184273,3.67e-06
0.185558,3.3800000000000002e-06
0.186844,3.09e-06
0.188129,2.8010000000000004e-06
0.189414,2.511e-06
0.190699,2.221e-06
0.191984,1.9310000000000002e-06
0.193269,1.641e-06
0.194555,1.351e-06
0.19584,1.061e-06
0.197125,7.71e-07
0.19841,4.81e-07
0.199695,5.745e-06
0.200981,5.224e-06
0.202266,4.703e-06
0.203551,4.182e-06
0.204836,3.66e-06
0.206121,3.139e-06
0.207406,2.618e-06
0.208692,2.097e-06
0.209977,1.576e-06
0.211262,1.055e-06
0.212547,5.34e-07
0.213832,1.2e-08
0.215118,-5.09e-07
0.216403,-1.03e-06
0.217688,-1.551e-06
0.218973,-2.0720000000000002e-06
0.220258,-2.593e-06
0.221543,-3.1150000000000002e-06
0.222829,-3.636e-06
0.224114,-4.157e-06
0.225399,-4.678e-06
0.226684,-5.199e-06
0.227969,-5.72e-06
0.229254,-6.2420000000000005e-06
0.23054,-6.763e-06
0.231825,-7.284e-06
0.23311,-7.805e-06
0.234395,-8.326e-06
0.23568,-8.847e-06
0.236966,-9.369000000000001e-06
0.238251,-9.89e-06
0.239536,-1.0411e-05
0.240821,-1.0932000000000001e-05
0.242106,-1.1453e-05
0.243391,-1.1974000000000001e-05
0.244677,-1.2496e-05
0.245962,-1.3017000000000001e-05
0.247247,-1.3538e-05
0.248532,-1.4059e-05
0.249817,-1.4473e-05
0.251102,-1.4788000000000001e-05
0.252388,-1.5103000000000001e-05
0.253673,-1.5418e-05
0.254958,-1.5733e-05
0.256243,-1.6048e-05
0.257528,-1.6363e-05
0.258814,-1.6678e-05
0.260099,-1.6993e-05
0.261384,-1.7308e-05
0.262669,-1.7623e-05
0.263954,-1.7938e-05
0.265239,-1.8253e-05
0.266525,-1.8568000000000002e-05
0.26781,-1.8883000000000002e-05
0.269095,-1.9197e-05
0.27038,-1.9512000000000002e-05
0.271665,-1.9827000000000002e-05
0.27295,-2.0142e-05
0.274236,-2.0457e-05
0.275521,-2.0772e-05
0.276806,-2.1087000000000003e-05
0.278091,-2.1402000000000003e-05
0.279376,-2.1717000000000002e-05
0.280662,-2.2032e-05
0.281947,-2.2346999999999998e-05
0.283232,-2.2662e-05
0.284517,-2.2977e-05
0.285802,-2.3292e-05
0.287087,-2.3607e-05
0.288373,-2.3922e-05
0.289658,-2.4236e-05
0.290943,-2.4551e-05
0.292228,-2.4866e-05
0.293513,-2.5180999999999998e-05
0.294798,-2.5496e-05
0.296084,-2.5811e-05
0.297369,-2.6126e-05
0.298654,-2.6441e-05
0.299939,-2.95e-05
0.301224,-3.3901e-05
0.30251,-3.8302999999999996e-05
0.303795,-4.2705e-05
0.30508,-4.7106000000000006e-05
0.306365,-5.1508e-05
0.30765,-5.5910000000000005e-05
0.308935,-6.0311e-05
0.310221,-6.4713e-05
0.311506,-6.911499999999999e-05
0.312791,-7.3516e-05
0.314076,-7.791800000000001e-05
0.315361,-8.232000000000001e-05
0.316647,-8.6722e-05
0.317932,-9.1123e-05
0.319217,-9.5525e-05
0.320502,-9.992700000000001e-05
0.321787,-0.00010432800000000001
0.323072,-0.00010873
0.324358,-0.000113132
0.325643,-0.000117533
0.326928,-0.000121935
0.328213,-0.00012633700000000002
0.329498,-0.000130739
0.330783,-0.00013514
0.332069,-0.000139542
0.333354,-0.000143944
0.334639,-0.000148345
0.335924,-0.000152747
0.337209,-0.000157149
0.338495,-0.00016155
0.33978,-0.000165952
0.341065,-0.000170354
0.34235,-0.000174756
0.343635,-0.00017915700000000002
0.34492,-0.000183559
0.346206,-0.000187961
0.347491,-0.000192362
0.348776,-0.000196764
0.350061,-0.000197935
0.351346,-0.000198421
0.352631,-0.000198907
0.353917,-0.000199393
0.355202,-0.00019988000000000002
0.356487,-0.000200366
0.357772,-0.000200852
0.359057,-0.000201338
0.360343,-0.000201824
0.361628,-0.000202311
0.362913,-0.000202797
0.364198,-0.00020328299999999998
0.365483,-0.00020376900000000002
0.366768,-0.000204255
0.368054,-0.000204741
0.369339,-0.000205228
0.370624,-0.00020571400000000002
0.371909,-0.0002062
0.373194,-0.000206686
0.374479,-0.000207172
0.375765,-0.00020765800000000002
0.37705,-0.000208145
0.378335,-0.000208631
0.37962,-0.000209117
0.380905,-0.00020960300000000002
0.382191,-0.000210089
0.383476,-0.00021057600000000002
0.384761,-0.000211062
0.386046,-0.00021154800000000001
0.387331,-0.000212034
0.388616,-0.00021251999999999998
0.389902,-0.000213006
0.391187,-0.00021349299999999998
0.392472,-0.00021397900000000002
0.393757,-0.000214465
0.395042,-0.000214951
0.396327,-0.000215437
0.397613,-0.000215923
0.398898,-0.000216405
0.400183,-0.000215923
0.401468,-0.000215416
0.402753,-0.000214909
0.404039,-0.000214402
0.405324,-0.000213895
0.406609,-0.000213388
0.407894,-0.000212881
0.409179,-0.000212374
0.410464,-0.000211867
0.41175,-0.000211359
0.413035,-0.000210852
0.41432,-0.00021034500000000002
0.415605,-0.000209838
0.41689,-0.000209331
0.418176,-0.000208824
0.419461,-0.00020831700000000002
0.420746,-0.00020781
0.422031,-0.000207303
0.423316,-0.000206796
0.424601,-0.000206288
0.425887,-0.000205781
0.427172,-0.00020527400000000003
0.428457,-0.000204767
0.429742,-0.00020426
0.431027,-0.00020375299999999999
0.432312,-0.00020324600000000003
0.433598,-0.000202739
0.434883,-0.000202232
0.436168,-0.000201724
0.437453,-0.000201217
0.438738,-0.00020071
0.440024,-0.000200203
0.441309,-0.00019969600000000002
0.442594,-0.000199189
0.443879,-0.000198682
0.445164,-0.000198175
0.446449,-0.00019766800000000002
0.447735,-0.00019716000000000002
